table_id,state,start_time,end_time,duration_seconds
table_2,CUSTOMER_LEFT,401.40789613142556,401.4479968203498,0.04010068892421259
table_2,DIRTY,401.4479968203498,411.47316905140434,10.025172231054569
table_2,CLEAN,411.47316905140434,416.48575516693165,5.012586115527313
table_2,EMPTY,416.48575516693165,424.18508744038155,7.6993322734498975
table_2,OCCUPIED,424.18508744038155,432.44582935877054,8.260741918388987
table_2,CUSTOMER_LEFT,432.44582935877054,432.48593004769475,0.04010068892421259
table_2,DIRTY,432.48593004769475,442.5111022787494,10.025172231054626
table_2,CLEAN,442.5111022787494,447.52368839427663,5.012586115527256
table_2,EMPTY,447.52368839427663,472.18561208267096,24.661923688394324
table_2,OCCUPIED,472.18561208267096,525.0784207737149,52.89280869104397
table_2,CUSTOMER_LEFT,525.0784207737149,525.1185214626391,0.04010068892421259
table_2,DIRTY,525.1185214626391,535.1436936936938,10.025172231054626
table_2,CLEAN,535.1436936936938,540.156279809221,5.012586115527256
table_2,EMPTY,540.156279809221,543.6851404345522,3.5288606253311627
table_2,OCCUPIED,543.6851404345522,580.6579756226815,36.97283518812935
table_2,CUSTOMER_LEFT,580.6579756226815,580.6980763116057,0.04010068892421259
table_2,DIRTY,580.6980763116057,590.7232485426604,10.025172231054626
table_2,CLEAN,590.7232485426604,595.7358346581876,5.012586115527256
table_2,EMPTY,595.7358346581876,601.309830418654,5.573995760466346
table_2,OCCUPIED,601.309830418654,635.5157180710122,34.20588765235823
table_2,CUSTOMER_LEFT,635.5157180710122,635.5558187599364,0.04010068892421259
table_2,DIRTY,635.5558187599364,645.580990990991,10.025172231054626
table_2,CLEAN,645.580990990991,650.5935771065183,5.012586115527256
table_2,EMPTY,650.5935771065183,651.6361950185479,1.042617912029641
table_2,OCCUPIED,651.6361950185479,661.180158982512,9.543963963964075
table_2,CUSTOMER_LEFT,661.180158982512,661.2202596714362,0.04010068892421259
table_2,DIRTY,661.2202596714362,671.2454319024907,10.025172231054512
table_2,CLEAN,671.2454319024907,676.2580180180181,5.01258611552737
table_2,EMPTY,676.2580180180181,695.9875569687334,19.729538950715323
table_2,OCCUPIED,695.9875569687334,740.0582140964494,44.070657127716004
table_2,CUSTOMER_LEFT,740.0582140964494,740.0983147853736,0.04010068892421259
table_2,DIRTY,740.0983147853736,750.1234870164283,10.025172231054626
table_2,CLEAN,750.1234870164283,755.1360731319555,5.012586115527256
table_2,EMPTY,755.1360731319555,756.1786910439852,1.042617912029641
table_2,OCCUPIED,756.1786910439852,769.5322204557499,13.353529411764725
table_2,ORDER_TAKEN,769.5322204557499,769.5723211446741,0.04010068892421259
table_2,WAITING_FOR_FOOD,769.5723211446741,,
